DESIGN,DAY,CAVITY,STRENGTH
OLD,31,24,217
OLD,32,24,215
NEW,1,1,216
NEW,2,1,225
NEW,3,1,217
NEW,4,1,139
NEW,5,1,227
NEW,6,1,228
NEW,7,1,226
NEW,8,1,140
NEW,9,1,227
NEW,10,1,140
NEW,11,1,218
NEW,12,1,224
NEW,13,1,139
NEW,14,1,223
NEW,15,1,221
NEW,16,1,221
NEW,17,1,224
NEW,18,1,126
NEW,19,1,225
NEW,20,1,224
NEW,21,1,116
NEW,22,1,221
NEW,23,1,215
NEW,24,1,216
NEW,25,1,225
NEW,26,1,125
NEW,27,1,224
NEW,28,1,213
NEW,29,1,218
NEW,30,1,227
NEW,31,1,226
NEW,32,1,214
NEW,1,2,217
NEW,2,2,225
NEW,3,2,216
NEW,4,2,225
NEW,5,2,212
NEW,6,2,228
NEW,7,2,226
NEW,8,2,126
NEW,9,2,227
NEW,10,2,226
NEW,11,2,225
NEW,12,2,151
NEW,13,2,142
NEW,14,2,223
NEW,15,2,156
NEW,16,2,116
NEW,17,2,224
NEW,18,2,150
NEW,19,2,224
NEW,20,2,224
NEW,21,2,225
NEW,22,2,153
NEW,23,2,216
NEW,24,2,215
NEW,25,2,142
NEW,26,2,213
NEW,27,2,217
NEW,28,2,217
NEW,29,2,150
NEW,30,2,228
NEW,31,2,227
NEW,32,2,140
NEW,1,3,162
NEW,2,3,226
NEW,3,3,224
NEW,4,3,224
NEW,5,3,214
NEW,6,3,228
NEW,7,3,226
NEW,8,3,182
NEW,9,3,226
NEW,10,3,227
NEW,11,3,226
NEW,12,3,226
NEW,13,3,129
NEW,14,3,222
NEW,15,3,139
NEW,16,3,223
NEW,17,3,223
NEW,18,3,225
NEW,19,3,224
NEW,20,3,224
NEW,21,3,224
NEW,22,3,221
NEW,23,3,217
NEW,24,3,217
NEW,25,3,223
NEW,26,3,218
NEW,27,3,217
NEW,28,3,224
NEW,29,3,226
NEW,30,3,228
NEW,31,3,227
NEW,32,3,216
NEW,1,4,137
NEW,2,4,226
NEW,3,4,224
NEW,4,4,229
NEW,5,4,213
NEW,6,4,228
NEW,7,4,226
NEW,8,4,226
NEW,9,4,229
NEW,10,4,227
NEW,11,4,225
NEW,12,4,226
NEW,13,4,228
NEW,14,4,223
NEW,15,4,129
NEW,16,4,221
NEW,17,4,157
NEW,18,4,225
NEW,19,4,224
NEW,20,4,223
NEW,21,4,224
NEW,22,4,221
NEW,23,4,94
NEW,24,4,217
NEW,25,4,223
NEW,26,4,115
NEW,27,4,216
NEW,28,4,214
NEW,29,4,226
NEW,30,4,228
NEW,31,4,227
NEW,32,4,221
NEW,1,5,219
NEW,2,5,151
NEW,3,5,226
NEW,4,5,226
NEW,5,5,213
NEW,6,5,228
NEW,7,5,226
NEW,8,5,227
NEW,9,5,143
NEW,10,5,222
NEW,11,5,212
NEW,12,5,139
NEW,13,5,228
NEW,14,5,221
NEW,15,5,223
NEW,16,5,220
NEW,17,5,225
NEW,18,5,224
NEW,19,5,224
NEW,20,5,148
NEW,21,5,224
NEW,22,5,219
NEW,23,5,224
NEW,24,5,121
NEW,25,5,227
NEW,26,5,226
NEW,27,5,217
NEW,28,5,215
NEW,29,5,226
NEW,30,5,129
NEW,31,5,229
NEW,32,5,213
NEW,1,6,216
NEW,2,6,226
NEW,3,6,224
NEW,4,6,132
NEW,5,6,163
NEW,6,6,228
NEW,7,6,226
NEW,8,6,226
NEW,9,6,151
NEW,10,6,225
NEW,11,6,226
NEW,12,6,193
NEW,13,6,141
NEW,14,6,220
NEW,15,6,135
NEW,16,6,223
NEW,17,6,140
NEW,18,6,225
NEW,19,6,225
NEW,20,6,143
NEW,21,6,224
NEW,22,6,220
NEW,23,6,216
NEW,24,6,186
NEW,25,6,224
NEW,26,6,120
NEW,27,6,215
NEW,28,6,215
NEW,29,6,221
NEW,30,6,228
NEW,31,6,228
NEW,32,6,115
NEW,1,7,179
NEW,2,7,226
NEW,3,7,225
NEW,4,7,136
NEW,5,7,135
NEW,6,7,228
NEW,7,7,226
NEW,8,7,136
NEW,9,7,225
NEW,10,7,143
NEW,11,7,224
NEW,12,7,124
NEW,13,7,154
NEW,14,7,160
NEW,15,7,222
NEW,16,7,135
NEW,17,7,224
NEW,18,7,140
NEW,19,7,224
NEW,20,7,225
NEW,21,7,225
NEW,22,7,219
NEW,23,7,215
NEW,24,7,218
NEW,25,7,103
NEW,26,7,114
NEW,27,7,92
NEW,28,7,135
NEW,29,7,225
NEW,30,7,230
NEW,31,7,229
NEW,32,7,214
NEW,1,8,153
NEW,2,8,224
NEW,3,8,216
NEW,4,8,220
NEW,5,8,212
NEW,6,8,228
NEW,7,8,226
NEW,8,8,227
NEW,9,8,226
NEW,10,8,137
NEW,11,8,225
NEW,12,8,158
NEW,13,8,225
NEW,14,8,223
NEW,15,8,220
NEW,16,8,117
NEW,17,8,114
NEW,18,8,224
NEW,19,8,225
NEW,20,8,224
NEW,21,8,225
NEW,22,8,160
NEW,23,8,226
NEW,24,8,216
NEW,25,8,225
NEW,26,8,215
NEW,27,8,221
NEW,28,8,214
NEW,29,8,114
NEW,30,8,229
NEW,31,8,228
NEW,32,8,117
NEW,1,9,152
NEW,2,9,227
NEW,3,9,223
NEW,4,9,226
NEW,5,9,134
NEW,6,9,228
NEW,7,9,226
NEW,8,9,226
NEW,9,9,226
NEW,10,9,226
NEW,11,9,138
NEW,12,9,170
NEW,13,9,126
NEW,14,9,220
NEW,15,9,127
NEW,16,9,105
NEW,17,9,224
NEW,18,9,162
NEW,19,9,143
NEW,20,9,143
NEW,21,9,224
NEW,22,9,219
NEW,23,9,217
NEW,24,9,216
NEW,25,9,140
NEW,26,9,217
NEW,27,9,86
NEW,28,9,117
NEW,29,9,225
NEW,30,9,226
NEW,31,9,228
NEW,32,9,215
NEW,1,10,217
NEW,2,10,225
NEW,3,10,123
NEW,4,10,158
NEW,5,10,211
NEW,6,10,228
NEW,7,10,226
NEW,8,10,227
NEW,9,10,169
NEW,10,10,227
NEW,11,10,225
NEW,12,10,139
NEW,13,10,215
NEW,14,10,144
NEW,15,10,222
NEW,16,10,123
NEW,17,10,225
NEW,18,10,223
NEW,19,10,224
NEW,20,10,224
NEW,21,10,224
NEW,22,10,220
NEW,23,10,217
NEW,24,10,217
NEW,25,10,226
NEW,26,10,216
NEW,27,10,224
NEW,28,10,215
NEW,29,10,226
NEW,30,10,227
NEW,31,10,224
NEW,32,10,214
NEW,1,11,217
NEW,2,11,226
NEW,3,11,226
NEW,4,11,224
NEW,5,11,213
NEW,6,11,228
NEW,7,11,226
NEW,8,11,226
NEW,9,11,227
NEW,10,11,144
NEW,11,11,225
NEW,12,11,127
NEW,13,11,183
NEW,14,11,221
NEW,15,11,158
NEW,16,11,221
NEW,17,11,225
NEW,18,11,149
NEW,19,11,224
NEW,20,11,224
NEW,21,11,224
NEW,22,11,222
NEW,23,11,224
NEW,24,11,218
NEW,25,11,112
NEW,26,11,223
NEW,27,11,225
NEW,28,11,215
NEW,29,11,136
NEW,30,11,227
NEW,31,11,118
NEW,32,11,135
NEW,1,12,143
NEW,2,12,228
NEW,3,12,217
NEW,4,12,119
NEW,5,12,159
NEW,6,12,229
NEW,7,12,227
NEW,8,12,226
NEW,9,12,148
NEW,10,12,147
NEW,11,12,226
NEW,12,12,227
NEW,13,12,226
NEW,14,12,221
NEW,15,12,142
NEW,16,12,143
NEW,17,12,254
NEW,18,12,224
NEW,19,12,224
NEW,20,12,224
NEW,21,12,224
NEW,22,12,143
NEW,23,12,112
NEW,24,12,216
NEW,25,12,224
NEW,26,12,143
NEW,27,12,224
NEW,28,12,107
NEW,29,12,223
NEW,30,12,227
NEW,31,12,227
NEW,32,12,215
NEW,1,13,179
NEW,2,13,218
NEW,3,13,225
NEW,4,13,218
NEW,5,13,132
NEW,6,13,228
NEW,7,13,226
NEW,8,13,226
NEW,9,13,227
NEW,10,13,224
NEW,11,13,225
NEW,12,13,226
NEW,13,13,224
NEW,14,13,143
NEW,15,13,222
NEW,16,13,156
NEW,17,13,224
NEW,18,13,139
NEW,19,13,225
NEW,20,13,224
NEW,21,13,225
NEW,22,13,222
NEW,23,13,224
NEW,24,13,220
NEW,25,13,138
NEW,26,13,115
NEW,27,13,224
NEW,28,13,226
NEW,29,13,124
NEW,30,13,155
NEW,31,13,226
NEW,32,13,218
NEW,1,14,218
NEW,2,14,218
NEW,3,14,136
NEW,4,14,226
NEW,5,14,214
NEW,6,14,227
NEW,7,14,226
NEW,8,14,227
NEW,9,14,227
NEW,10,14,159
NEW,11,14,227
NEW,12,14,227
NEW,13,14,164
NEW,14,14,138
NEW,15,14,22
NEW,16,14,123
NEW,17,14,225
NEW,18,14,223
NEW,19,14,225
NEW,20,14,223
NEW,21,14,225
NEW,22,14,221
NEW,23,14,225
NEW,24,14,218
NEW,25,14,141
NEW,26,14,223
NEW,27,14,224
NEW,28,14,215
NEW,29,14,216
NEW,30,14,227
NEW,31,14,226
NEW,32,14,120
NEW,1,15,154
NEW,2,15,179
NEW,3,15,224
NEW,4,15,215
NEW,5,15,143
NEW,6,15,227
NEW,7,15,227
NEW,8,15,227
NEW,9,15,226
NEW,10,15,227
NEW,11,15,225
NEW,12,15,225
NEW,13,15,133
NEW,14,15,222
NEW,15,15,161
NEW,16,15,121
NEW,17,15,224
NEW,18,15,125
NEW,19,15,223
NEW,20,15,225
NEW,21,15,223
NEW,22,15,223
NEW,23,15,224
NEW,24,15,216
NEW,25,15,225
NEW,26,15,224
NEW,27,15,137
NEW,28,15,216
NEW,29,15,226
NEW,30,15,131
NEW,31,15,228
NEW,32,15,100
NEW,1,16,141
NEW,2,16,160
NEW,3,16,217
NEW,4,16,226
NEW,5,16,153
NEW,6,16,227
NEW,7,16,226
NEW,8,16,226
NEW,9,16,226
NEW,10,16,229
NEW,11,16,226
NEW,12,16,159
NEW,13,16,226
NEW,14,16,221
NEW,15,16,124
NEW,16,16,115
NEW,17,16,224
NEW,18,16,224
NEW,19,16,224
NEW,20,16,225
NEW,21,16,224
NEW,22,16,159
NEW,23,16,216
NEW,24,16,217
NEW,25,16,225
NEW,26,16,225
NEW,27,16,227
NEW,28,16,216
NEW,29,16,226
NEW,30,16,226
NEW,31,16,227
NEW,32,16,127
NEW,1,17,223
NEW,2,17,228
NEW,3,17,219
NEW,4,17,226
NEW,5,17,213
NEW,6,17,138
NEW,7,17,223
NEW,8,17,143
NEW,9,17,144
NEW,10,17,134
NEW,11,17,227
NEW,12,17,155
NEW,13,17,131
NEW,14,17,222
NEW,15,17,222
NEW,16,17,137
NEW,17,17,225
NEW,18,17,224
NEW,19,17,226
NEW,20,17,223
NEW,21,17,226
NEW,22,17,150
NEW,23,17,223
NEW,24,17,125
NEW,25,17,114
NEW,26,17,226
NEW,27,17,224
NEW,28,17,224
NEW,29,17,226
NEW,30,17,227
NEW,31,17,226
NEW,32,17,131
NEW,1,18,218
NEW,2,18,223
NEW,3,18,222
NEW,4,18,117
NEW,5,18,215
NEW,6,18,228
NEW,7,18,148
NEW,8,18,227
NEW,9,18,162
NEW,10,18,227
NEW,11,18,227
NEW,12,18,126
NEW,13,18,227
NEW,14,18,222
NEW,15,18,223
NEW,16,18,133
NEW,17,18,224
NEW,18,18,224
NEW,19,18,225
NEW,20,18,145
NEW,21,18,225
NEW,22,18,221
NEW,23,18,216
NEW,24,18,216
NEW,25,18,226
NEW,26,18,225
NEW,27,18,221
NEW,28,18,150
NEW,29,18,227
NEW,30,18,228
NEW,31,18,228
NEW,32,18,213
NEW,1,19,140
NEW,2,19,225
NEW,3,19,225
NEW,4,19,140
NEW,5,19,214
NEW,6,19,225
NEW,7,19,224
NEW,8,19,227
NEW,9,19,226
NEW,10,19,226
NEW,11,19,140
NEW,12,19,227
NEW,13,19,128
NEW,14,19,221
NEW,15,19,223
NEW,16,19,223
NEW,17,19,142
NEW,18,19,223
NEW,19,19,224
NEW,20,19,225
NEW,21,19,224
NEW,22,19,121
NEW,23,19,215
NEW,24,19,220
NEW,25,19,225
NEW,26,19,128
NEW,27,19,219
NEW,28,19,139
NEW,29,19,227
NEW,30,19,227
NEW,31,19,226
NEW,32,19,117
NEW,1,20,218
NEW,2,20,225
NEW,3,20,136
NEW,4,20,144
NEW,5,20,118
NEW,6,20,143
NEW,7,20,226
NEW,8,20,229
NEW,9,20,226
NEW,10,20,173
NEW,11,20,226
NEW,12,20,155
NEW,13,20,171
NEW,14,20,223
NEW,15,20,142
NEW,16,20,222
NEW,17,20,223
NEW,18,20,225
NEW,19,20,224
NEW,20,20,224
NEW,21,20,224
NEW,22,20,133
NEW,23,20,209
NEW,24,20,93
NEW,25,20,213
NEW,26,20,215
NEW,27,20,215
NEW,28,20,215
NEW,29,20,218
NEW,30,20,225
NEW,31,20,228
NEW,32,20,137
NEW,1,21,217
NEW,2,21,227
NEW,3,21,223
NEW,4,21,130
NEW,5,21,144
NEW,6,21,227
NEW,7,21,227
NEW,8,21,226
NEW,9,21,223
NEW,10,21,227
NEW,11,21,227
NEW,12,21,125
NEW,13,21,145
NEW,14,21,221
NEW,15,21,222
NEW,16,21,116
NEW,17,21,147
NEW,18,21,223
NEW,19,21,223
NEW,20,21,130
NEW,21,21,223
NEW,22,21,129
NEW,23,21,224
NEW,24,21,216
NEW,25,21,133
NEW,26,21,222
NEW,27,21,216
NEW,28,21,112
NEW,29,21,230
NEW,30,21,227
NEW,31,21,150
NEW,32,21,225
NEW,1,22,218
NEW,2,22,227
NEW,3,22,218
NEW,4,22,218
NEW,5,22,212
NEW,6,22,226
NEW,7,22,226
NEW,8,22,167
NEW,9,22,227
NEW,10,22,227
NEW,11,22,225
NEW,12,22,144
NEW,13,22,230
NEW,14,22,221
NEW,15,22,221
NEW,16,22,223
NEW,17,22,224
NEW,18,22,222
NEW,19,22,225
NEW,20,22,225
NEW,21,22,225
NEW,22,22,224
NEW,23,22,226
NEW,24,22,222
NEW,25,22,225
NEW,26,22,223
NEW,27,22,221
NEW,28,22,208
NEW,29,22,225
NEW,30,22,227
NEW,31,22,133
NEW,32,22,217
NEW,1,23,218
NEW,2,23,226
NEW,3,23,217
NEW,4,23,171
NEW,5,23,159
NEW,6,23,227
NEW,7,23,227
NEW,8,23,226
NEW,9,23,226
NEW,10,23,226
NEW,11,23,226
NEW,12,23,217
NEW,13,23,117
NEW,14,23,222
NEW,15,23,107
NEW,16,23,121
NEW,17,23,225
NEW,18,23,222
NEW,19,23,226
NEW,20,23,124
NEW,21,23,225
NEW,22,23,140
NEW,23,23,217
NEW,24,23,133
NEW,25,23,157
NEW,26,23,99
NEW,27,23,227
NEW,28,23,214
NEW,29,23,132
NEW,30,23,230
NEW,31,23,133
NEW,32,23,138
NEW,1,24,217
NEW,2,24,153
NEW,3,24,225
NEW,4,24,226
NEW,5,24,213
NEW,6,24,226
NEW,7,24,130
NEW,8,24,227
NEW,9,24,159
NEW,10,24,156
NEW,11,24,225
NEW,12,24,152
NEW,13,24,225
NEW,14,24,220
NEW,15,24,117
NEW,16,24,223
NEW,17,24,225
NEW,18,24,224
NEW,19,24,224
NEW,20,24,224
NEW,21,24,226
NEW,22,24,149
NEW,23,24,116
NEW,24,24,217
NEW,25,24,225
NEW,26,24,225
NEW,27,24,225
NEW,28,24,215
NEW,29,24,227
NEW,30,24,227
NEW,31,24,226
NEW,32,24,147
